,Service,nb_collections,standards
cds,Copernicus Climate Data Store,156,"['csw', 'dcat', 'gmd', 'openapi']"
clms,Copernicus Land Monitoring Service,73,"['csw', 'dcat', 'gmd', 'openapi_rdf']"
eum,EUMETSAT,160,"['csw', 'gmd', 'gmi']"
cmems,Copernicus Marine Service,275,"['csw', 'dcat', 'gmd']"
wekeo,WekEO,434,"['csw', 'gmd', 'gmi']"
eea,European Environment Agency Spatial Data Catalogue,374,"['csw', 'dcat', 'gmd', 'openapi']"
terrascope,VITO terrascope.be,105,['stac']
creodias,Creodias,14,['stac']
sentinelhub,Sinergise Sentinel Hub,3,['stac']
dataspace,Copernicus Data Space,14,['stac']
earthsearch,Earth Search - AWS public datasets,7,['stac']
mspc,Microsoft Planetary Computer,122,['stac']
gee,Google Earth Engine Driver for openEO,886,['stac']
openeo,openEO Platform,133,['stac']
eurac,Eurac Research (openEO),123,['stac']
openscience,ESA Open Science Catalog,1,['stac']
vito,VITO Remote Sensing openEO API ,86,['stac']
